doc,sid,speaker,transcription,cleaned_transcription,translation,similarity
2012-03-02-e,2012-03-02-e_000181,Soledad García Bautista,"ta1 kum3pa4ri2[=yu1] Betu kan4 ni1-sa3na3 i3ni2=ra1 ka4chi2 ta1, nda4tu'4un4=ra2 ji'4in(4)=2, su14u3 i3nda14 ta1 kum3pa4ri2[=yu1] Betu ndi4 sa3kan4 ndo'13o3 tu3 Poco ba3 ni1-sa3na3 i3ni2=ra1 i13xa3 <i>ánima</i> yu3ku4 tan3","ta1 kum3pa4ri2=yu1 Betu kan4 ni1-sa3na3 i3ni2=ra1 ka4chi2 ta1, nda4tu'4un4=ra2 ji'4in(4)=2, su14u3 i3nda14 ta1 kum3pa4ri2=yu1 Betu ndi4 sa3kan4 ndo'13o3 tu3 Poco ba3 ni1-sa3na3 i3ni2=ra1 i13xa3 ánima yu3ku4 tan3","mi compadre Beto, eso fue mientras estaba loco. También a su hermano Prócoro le pasó lo mismo, fue afectado por un espíritu de cerro y",0.9090909090909091
2012-03-02-p,2012-03-02-p_000036,Fernando Niño Leonardo,"I3kan4 ka4chi2 ka'4an4=ra2 so'3o3 ndi4, ""Na4 ni4-ka'1an1=ndo4 ji'4in(4)=2 ndi4 ta1 ja1 kwa'1an1 ku4u4 xi1i4=2 tan3 ku'1un(1)=i1 ji'4in4 ba3=ra2 ndi4 ta1 ni1-ka'1an1 ku4u4=ra2 ndi4 ku'1un(1)=i1 ji'4in4=ra2 tan3 ndo'4o1 ndi4 ni14-ka'1an1=ndo4 ji'4in(4)=2 tan3 bi3tin3 ndi4 ta1 ku'1un1 ku4u4 ba(3)=2, ni3 ba143 i4yo(2)=a2 nda3ñu'4u4 bi4=2 ndi4 na'4a1 ba3 xa'1a4 ta1 kan4 mi4i4 ba42 kwa'1an1=ra1 tan3 sa3kan4 ndi4 ku'1un(1)=i1 ja1ta4=ra3"".","I3kan4 ka4chi2 ka'4an4=ra2 so'3o3 ndi4, ""Na4 ni4-ka'1an1=ndo4 ji'4in(4)=2 ndi4 ta1 ja1 kwa'1an1 ku4u4 xi1i4=2 tan3 ku'1un(1)=i1 ji'4in4 ba3=ra2 ndi4 ta1 ni1-ka'1an1 ku4u4=ra2 ndi4 ku'1un(1)=i1 ji'4in4=ra2 tan3 ndo'4o1 ndi4 ni14-ka'1an1=ndo4 ji'4in(4)=2 tan3 bi3tin3 ndi4 ta1 ku'1un1 ku4u4 ba(3)=2, ni3 ba143 i4yo(2)=a2 nda3ñu'4u4 bi4=2 ndi4 na'4a1 ba3 xa'1a4 ta1 kan4 mi4i4 ba42 kwa'1an1=ra1 tan3 sa3kan4 ndi4 ku'1un(1)=i1 ja1ta4=ra3"".","Entonces el niño dijo, ""Me hubieran dicho que mi abuelo se iba para acompañarlo, yo ya le había dicho que lo iba a acompañar, pero no me dijeron, mas no importa, de todas maneras voy a ir, no me perderé, iré siguiendo sus huellas"".",0.8181818181818182
2008-11-15-g,2008-11-15-g_000055,Constantino Teodoro Bautista,"tan3 sa3kan4 ko3ndo'3o3 ba3 ta1 yu4bi24 sa3kan4 ku3ni2=ra1 ndi4, sa1a3 ko3o3=ra2 ko3ndo3=ra2 ta1a3 ni1-ka3chi2 kum3pa4ri2=ra1 ji'4in4=ra3","tan3 sa3kan4 ko3ndo'3o3 ba3 ta1 yu4bi24 sa3kan4 ku3ni2=ra1 ndi4, sa1a3 ko3o3=ra2 ko3ndo3=ra2 ta1a3 ni1-ka3chi2 kum3pa4ri2=ra1 ji'4in4=ra3","""Pues el hombre debe pasar por esas cosas para que se enseñe a ser menos ingenuo"", le dijo su compadre.",0.8181818181818182
2008-11-15-g,2008-11-15-g_000072,Constantino Teodoro Bautista,"bi3tin3 ba42 ji4ni2=yu1 ndi4 ni1-ke3-ba'1a3=2, ya1 yo'4o4 ba3 ku4u4 kum3pa4ri2=o4 xa'4an1=ra1 tan3 ba143 nda4tu'4un4 ta1 yo'4o4 ji'4in(4)=o4 ndi4, so'3o3 ni1-i3xa3=ra2 ji'4in(4)=2 mi4i4 ni1-xa'1an1=yu1","bi3tin3 ba42 ji4ni2=yu1 ndi4 ni1-ke3-ba'1a3=2, ya1 yo'4o4 ba3 ku4u4 kum3pa4ri2=o4 xa'4an1=ra1 tan3 ba143 nda4tu'4un4 ta1 yo'4o4 ji'4in(4)=o4 ndi4, so'3o3 ni1-i3xa3=ra2 ji'4in(4)=2 mi4i4 ni1-xa'1an1=yu1","""Ahora sí me fue bien, el compadre hace esto cada vez que va y no me cuenta nada, así me hizo ahora que fui con él"".",0.8181818181818182
2008-10-28-c,2008-10-28-c_000125,Victorino Ramos Rómulo,"Ndi4 sa3kan4 ka4a(4)=e2 i4yo2 ndi4, ku'1un1 ba3=ra2 ndi4 ba143 ndu4ta'3an2 ja3 ba3=ra2 ku3ndi3ka2=ra1 ma'14ñu3 ki3ti4 ndi4 ta1 yu4bi24 ba3 ku4u4 ta1 kan4 tan3 ti4 kan4 ndi4 ki3ti4 ku4u4=ri4, ka4chi2=ra1 so'3o3.","Ndi4 sa3kan4 ka4a(4)=e2 i4yo2 ndi4, ku'1un1 ba3=ra2 ndi4 ba143 ndu4ta'3an2 ja3 ba3=ra2 ku3ndi3ka2=ra1 ma'14ñu3 ki3ti4 ndi4 ta1 yu4bi24 ba3 ku4u4 ta1 kan4 tan3 ti4 kan4 ndi4 ki3ti4 ku4u4=ri4, ka4chi2=ra1 so'3o3.","Les dijo lo que pasaba, les dijo que efectivamente no era correcto que él viviera con ellos pues él era un humano y ellos eran animales.",0.7272727272727273
2016-05-22-i,2016-05-22-i_000098,Constantino Teodoro Bautista,tan(3)=e2 ndi3xa3 ku4u4 ba(3)=e2 ndi4 ya1 ba'14a4 kan4 i4yo2 nu14u3 ndo'1yo3 ndi4 sa3kan4 ni1-ndo'3o3 yu'1u1 ji'4in4 ta1 lu3u3 se'1e3=2 i4ta4=ra2 tan3,tan(3)=e2 ndi3xa3 ku4u4 ba(3)=e2 ndi4 ya1 ba'14a4 kan4 i4yo2 nu14u3 ndo'1yo3 ndi4 sa3kan4 ni1-ndo'3o3 yu'1u1 ji'4in4 ta1 lu3u3 se'1e3=2 i4ta4=ra2 tan3,"Y es cierto que esos pantanos ocultan esos espíritus malignos, me pasó con uno de mis hijos cuando estaba muy pequeño.",0.7272727272727273
2008-12-07-f,2008-12-07-f_000026,Maximino Meza Teodoro,"""Nda3-ta3ba(4)=on4=a2"", ka4chi2[=yu1] ji'4in(4)=un4, chi13ka2 ni3 tu3ku3=ra2 si1si'4i2=ra1 ya1..., si1si'4i2 ta1 sa1bi4 kan4 kwa'1an(1)=en4 ka'4an2=en4 ji'4in4 yu3ba(4)=en4 ndi4, ""Kwa'4an2=on4 tan3 sa3kan4 ndi4 ka'1an(1)=on4 ji'4in4 yu3ba(4)=on4 na4 nda3-ta3ba4=ra2 i3kin4 na4 nda3-ta3ba4=ra2 ndi3chi2,","""Nda3-ta3ba(4)=on4=a2"", ka4chi2=yu1 ji'4in(4)=un4, chi13ka2 ni3 tu3ku3=ra2 si1si'4i2=ra1 si1si'4i2 ta1 sa1bi4 kan4 kwa'1an(1)=en4 ka'4an2=en4 ji'4in4 yu3ba(4)=en4 ndi4, ""Kwa'4an2=on4 tan3 sa3kan4 ndi4 ka'1an(1)=on4 ji'4in4 yu3ba(4)=on4 na4 nda3-ta3ba4=ra2 i3kin4 na4 nda3-ta3ba4=ra2 ndi3chi2,","El señor del fuego envió nuevamente a su esposa que fuera a decirle a su papá, ""Vete y dile a tu papá que recoja sus calabazas y sus ejotes,",0.7272727272727273
2008-12-07-f,2008-12-07-f_000021,Maximino Meza Teodoro,"Lu14u3 ni3i4 ndi4 nde4e4 ni3i4 nde4e4 i3kin4 nde4e4 ndi3chi2 nde4e4 ya1ma4=ra2 tan3 ja143 ka4chi2=ra1 ji'4in4 ta1 kan4 ndi4, ""Ku'1un(1)=un4 tan3 sa3kan4 nda3-ta3ba4=ndo4=a2 a1chi1 ndi4 ta1 ka'3mi3 ku4u4 yu'1u1, ja1 ki1bi4 ko3ko3 ba43"".","Lu14u3 ni3i4 ndi4 nde4e4 ni3i4 nde4e4 i3kin4 nde4e4 ndi3chi2 nde4e4 ya1ma4=ra2 tan3 ja143 ka4chi2=ra1 ji'4in4 ta1 kan4 ndi4, ""Ku'1un(1)=un4 tan3 sa3kan4 nda3-ta3ba4=ndo4=a2 a1chi1 ndi4 ta1 ka'3mi3 ku4u4 yu'1u1, ja1 ki1bi4 ko3ko3 ba43"".","Tenía mucha mazorcas, calabazas y ejotes así que le dijo al señor de la lluvia que quitara sus mazorcas porque él iba a quemar, ya era hora.",0.7272727272727273
2012-10-28-i,2012-10-28-i_000054,Mario Salazar Felipe,"Ja14-ta3nda'3a4=ra2 ta1 kan4 tan3, ba'1a3 ba3 ta1, ta1 sa1bi4 ndi4 i4yo2 xu'14un4 na1 kan4 i4yo2, i4yo2 ki3ti4 sa1na1 na1 kan4 xa'13ni4=ra2 ji1ndi1ki4 ni1-xa'3ni4=ra2 ni1-ta3nda'3a4 ba3 ta1 kan4 ji'4in4 si1si'4i2=ra1.","Ja14-ta3nda'3a4=ra2 ta1 kan4 tan3, ba'1a3 ba3 ta1, ta1 sa1bi4 ndi4 i4yo2 xu'14un4 na1 kan4 i4yo2, i4yo2 ki3ti4 sa1na1 na1 kan4 xa'13ni4=ra2 ji1ndi1ki4 ni1-xa'3ni4=ra2 ni1-ta3nda'3a4 ba3 ta1 kan4 ji'4in4 si1si'4i2=ra1.","Así que el señor de la lluvia casó a la pareja, el señor de la lluvia tenía dinero, tenía reses, mató varias vacas para la boda de la pareja.",0.7272727272727273
2008-12-07-f,2008-12-07-f_000017,Maximino Meza Teodoro,"ja14-ndi'3i3 ta1 sa1bi4 ji13tu3=ra2 tan3 nda4a(2)=e2 ba42 kan4 ndi4 sa3kan4 ka4a4 ba3 ku'1u1 i4ndu'3u4=a2 chi1, xa1 o4ra2 o4ra2 tan3 ja143 i1xa14a3 ni1-xa1a1 ta1 xi1i4 tan3 ka4chi2=ra1 so'3o3 ndi4:","ja14-ndi'3i3 ta1 sa1bi4 ji13tu3=ra2 tan3 nda4a(2)=e2 ba42 kan4 ndi4 sa3kan4 ka4a4 ba3 ku'1u1 i4ndu'3u4=a2 chi1, xa1 o4ra2 o4ra2 tan3 ja143 i1xa14a3 ni1-xa1a1 ta1 xi1i4 tan3 ka4chi2=ra1 so'3o3 ndi4:","Cuando el señor de la lluvia terminó de tumbar el monte el señor del fuego aún no había hecho nada, ya casi a la hora de quemar llegó el señor del fuego y dijo:",0.7272727272727273
