cleaned_transcriptions,bpe_8000,unigram_2000,human,char_8000
spontaneous,▁spontaneous,▁spon tan e o u s,spontaneous,▁ s p o n t a n e o u s
"An4 nda3tu'4un(4)=2 i3in3 kwen4tu2 ya3ta4 xa'1a4 ta1, ta1 chi1tun3 ndi4","▁An 4 ▁nda 3 tu '4 un (4)=2 ▁i 3 in 3 ▁kwen 4 tu 2 ▁ya 3 ta 4 ▁xa '1 a 4 ▁ta 1, ▁ta 1 ▁chi 1 tun 3 ▁ndi 4","▁An 4 ▁nda 3 tu '4 un (4)= 2 ▁i 3 in 3 ▁kwe n 4 tu 2 ▁ya 3 ta 4 ▁xa '1 a 4 ▁ta 1, ▁ta 1 ▁chi 1 tun 3 ▁ndi 4","An4nda3tu'4un(4) 2i3in3kwen4tu2ya3ta4xa'1a4ta1,ta1chi1tun3ndi4","▁ A n 4 ▁ n d a 3 t u ' 4 u n ( 4 ) = 2 ▁ i 3 i n 3 ▁ k w e n 4 t u 2 ▁ y a 3 t a 4 ▁ x a ' 1 a 4 ▁ t a 1 , ▁ t a 1 ▁ c h i 1 t u n 3 ▁ n d i 4"
high,▁high,▁ hi g h,high,▁ h i g h
i3in3 kum3pa4ri2=ra1 i4yo2 tan3,▁i 3 in 3 ▁kum 3 pa 4 ri 2= ra 1 ▁i 4 yo 2 ▁tan 3,▁i 3 in 3 ▁ku m 3 pa 4 ri 2= ra 1 ▁i 4 yo 2 ▁tan 3,i3in3kum3pa4ri2 ra1i4yo2tan3,▁ i 3 i n 3 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ i 4 y o 2 ▁ t a n 3
"tan3 ti1xin3=a2 chi1tun3 kan4 i13xa3=ra2 ji'4in4 kum3pa4ri2=ra1 tan3, tan3 ta1 nda'4bi2 inocente kan4 ndi4","▁tan 3 ▁ti 1 xin 3= a 2 ▁chi 1 tun 3 ▁kan 4 ▁i 13 xa 3= ra 2 ▁ji '4 in 4 ▁kum 3 pa 4 ri 2= ra 1 ▁tan 3, ▁tan 3 ▁ta 1 ▁nda '4 bi 2 ▁inocente ▁kan 4 ▁ndi 4","▁tan 3 ▁ti 1 xin 3= a 2 ▁chi 1 tun 3 ▁kan 4 ▁i 1 3 xa 3= ra 2 ▁ji '4 in 4 ▁ku m 3 pa 4 ri 2= ra 1 ▁tan 3, ▁tan 3 ▁ta 1 ▁nda '4 bi 2 ▁ in o cente ▁kan 4 ▁ndi 4","tan3ti1xin3 a2chi1tun3kan4i13xa3 ra2ji'4in4kum3pa4ri2 ra1tan3,tan3ta1nda'4bi2inocentekan4ndi4","▁ t a n 3 ▁ t i 1 x i n 3 = a 2 ▁ c h i 1 t u n 3 ▁ k a n 4 ▁ i 1 3 x a 3 = r a 2 ▁ j i ' 4 i n 4 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ t a n 3 , ▁ t a n 3 ▁ t a 1 ▁ n d a ' 4 b i 2 ▁ i n o c e n t e ▁ k a n 4 ▁ n d i 4"
"ya1 ba'1a3, ya1 ba'1a3 ka'4an2 kum3pa4ri2=ra1 ji'4in4=ra2 ya1 kan4 ba42 ka13-ndi4xa3 ba3 ta1 kan4 tan3","▁ya 1 ▁ba '1 a 3, ▁ya 1 ▁ba '1 a 3 ▁ka '4 an 2 ▁kum 3 pa 4 ri 2= ra 1 ▁ji '4 in 4= ra 2 ▁ya 1 ▁kan 4 ▁ba 42 ▁ka 13- ndi 4 xa 3 ▁ba 3 ▁ta 1 ▁kan 4 ▁tan 3","▁ya 1 ▁ba '1 a 3, ▁ya 1 ▁ba '1 a 3 ▁ka '4 an 2 ▁ku m 3 pa 4 ri 2= ra 1 ▁ji '4 in 4= ra 2 ▁ya 1 ▁kan 4 ▁ba 4 2 ▁ka 13- ndi 4 xa 3 ▁ba 3 ▁ta 1 ▁kan 4 ▁tan 3","ya1ba'1a3,ya1ba'1a3ka'4an2kum3pa4ri2 ra1ji'4in4 ra2ya1kan4ba42ka13ndi4xa3ba3ta1kan4tan3","▁ y a 1 ▁ b a ' 1 a 3 , ▁ y a 1 ▁ b a ' 1 a 3 ▁ k a ' 4 a n 2 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ j i ' 4 i n 4 = r a 2 ▁ y a 1 ▁ k a n 4 ▁ b a 4 2 ▁ k a 1 3 - n d i 4 x a 3 ▁ b a 3 ▁ t a 1 ▁ k a n 4 ▁ t a n 3"
ni1-ke3e3=na2 kwa'1an1=na1 i3in3 i3chi4 ndi4,▁ni 1- ke 3 e 3= na 2 ▁kwa '1 an 1= na 1 ▁i 3 in 3 ▁i 3 chi 4 ▁ndi 4,▁ni 1- ke 3 e 3= na 2 ▁kwa '1 an 1= na 1 ▁i 3 in 3 ▁i 3 chi 4 ▁ndi 4,ni1ke3e3 na2kwa'1an1 na1i3in3i3chi4ndi4,▁ n i 1 - k e 3 e 3 = n a 2 ▁ k w a ' 1 a n 1 = n a 1 ▁ i 3 i n 3 ▁ i 3 c h i 4 ▁ n d i 4
"mi4i4 kwa'1an1=na1 kan4 ndi4, mi4i4 kwa'1an1=na1, ndi'3i3 xa'1a4 ta1, ta1 nda'4bi2, ñu3u2 ña1a4 ba42","▁mi 4 i 4 ▁kwa '1 an 1= na 1 ▁kan 4 ▁ndi 4, ▁mi 4 i 4 ▁kwa '1 an 1= na 1, ▁ndi '3 i 3 ▁xa '1 a 4 ▁ta 1, ▁ta 1 ▁nda '4 bi 2, ▁ñu 3 u 2 ▁ña 1 a 4 ▁ba 42","▁mi 4 i 4 ▁kwa '1 an 1= na 1 ▁kan 4 ▁ndi 4, ▁mi 4 i 4 ▁kwa '1 an 1= na 1, ▁ndi '3 i 3 ▁xa '1 a 4 ▁ta 1, ▁ta 1 ▁nda '4 bi 2, ▁ñu 3 u 2 ▁ña 1 a 4 ▁ba 4 2","mi4i4kwa'1an1 na1kan4ndi4,mi4i4kwa'1an1 na1,ndi'3i3xa'1a4ta1,ta1nda'4bi2,ñu3u2ña1a4ba42","▁ m i 4 i 4 ▁ k w a ' 1 a n 1 = n a 1 ▁ k a n 4 ▁ n d i 4 , ▁ m i 4 i 4 ▁ k w a ' 1 a n 1 = n a 1 , ▁ n d i ' 3 i 3 ▁ x a ' 1 a 4 ▁ t a 1 , ▁ t a 1 ▁ n d a ' 4 b i 2 , ▁ ñ u 3 u 2 ▁ ñ a 1 a 4 ▁ b a 4 2"
ke13e3=na2 kwa'1an1=na1 mi4i4 ti4 ba42 kwa'1an1 kum3pa4ri2=ra1 ji'4in4=ra3,▁ke 13 e 3= na 2 ▁kwa '1 an 1= na 1 ▁mi 4 i 4 ▁ti 4 ▁ba 42 ▁kwa '1 an 1 ▁kum 3 pa 4 ri 2= ra 1 ▁ji '4 in 4= ra 3,▁ke 1 3 e 3= na 2 ▁kwa '1 an 1= na 1 ▁mi 4 i 4 ▁ti 4 ▁ba 4 2 ▁kwa '1 an 1 ▁ku m 3 pa 4 ri 2= ra 1 ▁ji '4 in 4= ra 3,ke13e3 na2kwa'1an1 na1mi4i4ti4ba42kwa'1an1kum3pa4ri2 ra1ji'4in4 ra3,▁ k e 1 3 e 3 = n a 2 ▁ k w a ' 1 a n 1 = n a 1 ▁ m i 4 i 4 ▁ t i 4 ▁ b a 4 2 ▁ k w a ' 1 a n 1 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ j i ' 4 i n 4 = r a 3
tan3 kwa'1an1=na1 sa3kan4 i3in3 i3chi4 kan4 tan3 ka4chi2=ra1 ji'4in4 kum3pa4ri2=ra1 ndi4,▁tan 3 ▁kwa '1 an 1= na 1 ▁sa 3 kan 4 ▁i 3 in 3 ▁i 3 chi 4 ▁kan 4 ▁tan 3 ▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁kum 3 pa 4 ri 2= ra 1 ▁ndi 4,▁tan 3 ▁kwa '1 an 1= na 1 ▁sa 3 kan 4 ▁i 3 in 3 ▁i 3 chi 4 ▁kan 4 ▁tan 3 ▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁ku m 3 pa 4 ri 2= ra 1 ▁ndi 4,tan3kwa'1an1 na1sa3kan4i3in3i3chi4kan4tan3ka4chi2 ra1ji'4in4kum3pa4ri2 ra1ndi4,▁ t a n 3 ▁ k w a ' 1 a n 1 = n a 1 ▁ s a 3 k a n 4 ▁ i 3 i n 3 ▁ i 3 c h i 4 ▁ k a n 4 ▁ t a n 3 ▁ k a 4 c h i 2 = r a 1 ▁ j i ' 4 i n 4 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ n d i 4
