,doc,sid,speaker,transcription,cleaned_transcription,translation,mix_to_spa,spa_to_mix
0,2010-12-15-a,2010-12-15-a_000000,Constantino Teodoro Bautista,"Bi3tin3 ndi4 yo'4o4 nda3tu'4un(4)=2 kwen4tu2, i3in3 kwen4tu2 ya3ta4 xa'1a4","Bi3tin3 ndi4 yo'4o4 nda3tu'4un(4)=2 kwen4tu2, i3in3 kwen4tu2 ya3ta4 xa'1a4",Ahora voy a contar un cuento sobre,"ustedes son las llamadas <i>ta1si1 ti1mi3i4 ti1nda1ka1</i>, <i>ta1si1 ti1ki4 nu14u3 tu1chi32</i>, <i>ta1si1 ti1kwe'4na4 kwa4an2</i>, <i>ta1si1 ti1kwe'4na4 tu14un3</i>, <i>ta1si1 ti1kwe'4ma1</i>, <i>ta1si1 lu3xa'4yu1</i>,","ndo'4o1 ku4u4=ndo4 kwe'1e1 ti1nda1a4 ni1-ka3ku3=ndo4 nu14u3 i3ki4 ni1-ka3ku3=ndo4, ndo'4o1 ku4u4=ndo4 kwe'1e1 ti1nda1a4 kwa4an2, ti1nda1a4 tu14un3 ka13ku3 ndo'4o1 ku4u4=ndo4 kwe'1e1 kla4u2 ya3a3 ka13ku3 ndo'4o1, ndo'4o1 ku4u4=ndo4 kwe'1e1 ya3a3 ka13ku3 ndo'4o1"
1,2010-12-15-a,2010-12-15-a_000001,Mode,spontaneous,spontaneous,,"Así que fuimos a ver a nuestro padre San Agustín, ahí se curó mi compadre, se curó mi cabeza, así como tú vives, como otras personas tuviste tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza, tu riqueza.","Nu14u3 yu3ba(4)=e4 ta1 ta4u3ni2 San Agustín, yu3ba(4)=e4 ta1 ta4u3ni2 San Juan, yo'4o1 ndi4 ka'4an2 ba'1a3 yo'4o1 ka'4an2 ba'1a3 yo'4o1 ka'4an2 ba'1a3 yo'4o1 ka'4an2 ba'1a3 yo'4o1 ka'4an2 ba'1a3 yo'4o1 ka'4an2 yo'4o1 ka'4an2 yo'4o1 ka'4an2 yo'4o1 xa'1a4 se'1e3=2"
2,2010-12-15-a,2010-12-15-a_000002,Fidelity,high,high,,"Sí, esos espíritus son los que están viendo, los que están viendo las cosas son los que están viendo, si nuestra casa se va a otra casa esa casa se va a otra casa.",yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1
3,2010-12-15-a,2010-12-15-a_000003,Constantino Teodoro Bautista,ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ba42 ku4u4=na2 na1 ba4li4 i3in3 tiem4pu2 tan3 na1 nda'4bi2 ku4u4=na2 ya1 kan4 ndi4,ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ba42 ku4u4=na2 na1 ba4li4 i3in3 tiem4pu2 tan3 na1 nda'4bi2 ku4u4=na2 ya1 kan4 ndi4,"un cantor y su hermana llamada Ñula en los tiempos cuando estaban pequeños y quedaron huérfanos,","En el nombre del padre señor San Agustín, padre señor, tú que hablaste de manera despierta, que hablaste de manera despierta, que hablaste de manera despierta, que hablaste de manera despierta, que hablaste de manera despierta, que hablaste de manera viva, que hablaste de manera viva, hablaste de manera viva, hablaste de manera viva, hablaste de manera viva, hablaste de manera viva, hablaste de manera viva de mi criatura, de mi criatura.",kwe'1e1 nda'3a4 ni1-xi'1i1 ba3 kwe'1e1 yu'3u4 ni1-xi'1i1 ba3 kwe'1e1 ni1-xi1xi1 ba3 kwe'1e1 nda'3a4 ni1-xi1xi1 ba3 kwe'1e1 ni1-xi1xi1 ba3 kwe'1e1 ni1-xi1xi1 ba3 kwe'1e1 ni1-xi1xi1 ba3 kwe'1e1 nda'4yu1 ba3 kwe'1e1 nda'4yu1 ba3 kwe'1e1 ni1i4 ba3 kwe'1e1
4,2010-12-15-a,2010-12-15-a_000004,Constantino Teodoro Bautista,ni1-ka'1an1=ra1 ji'4in4 ku'1ba3=ra2 sa1a3 ko3o3 nda3-kwi3in(3)=an4 yu'3u4=ra2 na4 nda3ka1tu'4un4=ra2=ña4 tan3,ni1-ka'1an1=ra1 ji'4in4 ku'1ba3=ra2 sa1a3 ko3o3 nda3-kwi3in(3)=an4 yu'3u4=ra2 na4 nda3ka1tu'4un4=ra2=ña4 tan3,"y él le decía a su hermana cómo ella debía contestarle cuando él le hiciera una pregunta,","Estamos en la casa del fogón, de la casa del fogón, de los pantanos, y ahí se metió el fuego, está muy enferma, se metió en ese pantano, ahí se encuentra el pantano, ahí se debe buscar un pantano y",An4 ti1xin3 be'3e3 sa1bi4 na'14a1 ba42 an4 ko14o3 ti1xin3 be'3e3 sa1bi4 na'14a1 ba42 an4 ko14o3 ti1xin3 be'3e3 sa1bi4 na'14a1 ba42 an4 ko14o3 ti1xin3 be'3e3 ánima na'14a1 ba42 an4 ko14o3 ti1xin3 be'3e3 sa1bi4 na1 ni1-xi'1i1 ba42 an4 ko14o3 ti1xin3 be'3e3 sa1bi4 na1 ni1-xi'1i1.
5,2010-12-15-a,2010-12-15-a_000005,Constantino Teodoro Bautista,"ndi4 ji'3na3 ni1-ka'1an1=ra1 ji'4in(4)=an4 sa3kan4 ndi'13i3 tan3 ja143 ka'4an2=ra1 ji'4in(4)=an4, ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4 ndi4","ndi4 ji'3na3 ni1-ka'1an1=ra1 ji'4in(4)=an4 sa3kan4 ndi'13i3 tan3 ja143 ka'4an2=ra1 ji'4in(4)=an4, ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4 ndi4","primero él le dijo cómo debía hacerlo y después ella debía contestar, su hermano le dijo,","Entonces buscan a alguien que los lleve a la casa de sol, a la casa de adobe, a la casa de los pantanos, a la casa de la lluvia, a la casa del fogón, a la casa del fogón.",Be'3e3 sol be'3e3 xi1i4 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3 ndo'1yo3 be'3e3
6,2010-12-15-a,2010-12-15-a_000006,Constantino Teodoro Bautista,"yo3o3 ndu3chi4 nu14u3 ku4u4 ndu3chi4 nu14u(3)=un4 ran4 mi4chun2 ka4chi2=ra1 ji'4in(4)=an4, ka4chi2=an4 kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","yo3o3 ndu3chi4 nu14u3 ku4u4 ndu3chi4 nu14u(3)=un4 ran4 mi4chun2 ka4chi2=ra1 ji'4in(4)=an4, ka4chi2=an4 kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","""¿De quién son esos ojos pues gatita?"", le decía. Y ella le contestó,","Sí, eso significa la palabra <i>i3sa2bi4</i>. Si la tomó o la tomó de su mano, si la tomó, así que la tomó, es en la lengua de los mixtecos de estas montañas, no te preocupes, aquí te vas a encargar.","ndo'4o1 ku4u4 ndo'4o1, ndo'4o1 ku4u4 ndo'4o1, ndo'4o1 ku4u4 ndo'4o1, ndo'4o1 ku4u4 ndo'4o1, ndo'4o1 ku4u4 ndo'3o3, ndo'4o1 ku4u4 ndo'3o3, ta1 ta4u3ni2 San Jerónimo ta3xi(3)=un4 nda'3a4 se'1e3 sa1na(1)=e1 ndi4so3=ri4 ji'4in4 kwe'1e1 ba1xi3=2"
7,2010-12-15-a,2010-12-15-a_000007,Constantino Teodoro Bautista,"a4su3 ndi4 yu1u4 ta4ta42 ji4to3 ta1 kan3to4ri2 nu14u3=ra2 ku4u(4)=a2, ka4chi2=an4 so'3o3, ka'4an2 tu3ku3=ra2 ji'4in(4)=an4 ndi4","a4su3 ndi4 yu1u4 ta4ta42 ji4to3 ta1 kan3to4ri2 nu14u3=ra2 ku4u(4)=a2, ka4chi2=an4 so'3o3, ka'4an2 tu3ku3=ra2 ji'4in(4)=an4 ndi4","""Tú sabes que son los espejos donde el cantor se mira"". Y él le volvió a preguntar,","Así que me pidieron a dónde iba, pidieron a alguien que fuera a trabajar para mí, pero yo no iba a trabajar con ellos, yo no iba a trabajar con ellos porque esos espíritus son malos,","U1xi1 nu14u3 yu3bi4 u1xi1 ta3yu2 ndo'4o1, ndo'4o1 ta3yu2 ndo'4o1, ndo'4o1 ta3yu2 ndo'4o1 ta3yu2 ndo'4o1 ta3yu2 ndo'4o1 ta3yu2 ndo'4o1 ta3yu2 ndo'4o1 ta3yu2 ndo'4o1 ta3yu2 ndo'4o1 ta3yu2 ndo'4o1."
8,2010-12-15-a,2010-12-15-a_000008,Constantino Teodoro Bautista,"yo3o3 so'1o3 ku4u4 so'1o(3)=on4 ran4 mi4chun2 ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4, i3kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","yo3o3 so'1o3 ku4u4 so'1o(3)=on4 ran4 mi4chun2 ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4, i3kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","""¿De quién son tus orejas, gatita?"". Y ella le contestó,","""Cuando nacieron las hormigas <i>ta1si1 ko14o3 kwa'4a1</i>, <i>ta1si1 ya3a3 ko14o3 kwa'4a1 tu14un3</i>, cuando nacieron ustedes, cuando nacieron las hormigas <i>i3ki4 nu14u3 tu1chi32 nu14u3 i3ki4</i> y ahora la mano se hinchó,",ka'4an2=na1 ji'4in4=ra2 ndi4 bi3tin3 ndi3xa3 ku4u4=ndo4 padre señor San Agustín bi3tin3 ndi3xa3 ku1mi4 ka'1an1=ndo4 bi3tin3 bi3tin3 bi3tin3 ku1mi4 ka'1an1=ndo4 ndi3xa3 ku1mi4 ka'1an1=ndo4 ndi3xa3 ku1mi4 ka'1an1=ndo4 ndi3xa3 ku1mi4 ka'1an1=ndo4 ndi3xa3 ku1mi4 ka'1an1=ndo4 bi3tin3 ku3ni2=
9,2010-12-15-a,2010-12-15-a_000009,Constantino Teodoro Bautista,"a4su3 ndi4 ki1si3 ndi4ka1 chio'4o14 ña'1a3 xi4xi3 ta1 kan3to4ri2 ji'4in4 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 ku'1ba3=ra2 nda13-kwi3in(3)=an4","a4su3 ndi4 ki1si3 ndi4ka1 chio'4o14 ña'1a3 xi4xi3 ta1 kan3to4ri2 ji'4in4 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 ku'1ba3=ra2 nda13-kwi3in(3)=an4","""Pues es la cazuela donde el cantor cocina su comida con Ñula"", contestó su hermana.","el Cerro Ruidoso, el Cerro Ruidoso, el Pueblo Ruidoso, el Pueblo Ruidoso, el Pueblo Ruidoso, el Pueblo Ruidoso, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, el Pueblo Viejo, Pedro.",ko1o4 kwa'4a1 ka4chi2 ndo'4o1 ji'4in(4)=un4 tan3 ko1o4 ka4chi2 ndo'4o1 ji'4in(4)=un4 ndi4 ni1-ka3ku3=ri4 nu14u3 i3ki4 ni1-ka3ku3=ri4 nu14u3 i3ki4 ni1-ka3ku3=ri4 nu14u3 i3ki4 ni1-ka3ku3=ri4 nu14u3 i3ki4 ni1-ka3ku3=ri4 nu14u3 i3ki4 ni1-ka3ku3=ri4 nu14u3 i3ki4
