,doc,sid,speaker,transcription,cleaned_transcription,translation,mix_to_spa,spa_to_mix
0,2010-12-15-a,2010-12-15-a_000000,Constantino Teodoro Bautista,"Bi3tin3 ndi4 yo'4o4 nda3tu'4un(4)=2 kwen4tu2, i3in3 kwen4tu2 ya3ta4 xa'1a4","Bi3tin3 ndi4 yo'4o4 nda3tu'4un(4)=2 kwen4tu2, i3in3 kwen4tu2 ya3ta4 xa'1a4",Ahora voy a contar un cuento sobre,"ustedes son las llamadas <i>ta1si1 ti1mi3i4 ti1nda1ka1</i>, <i>ta1si1 tu1chi32</i>, <i>ta1si1 ti1kwe'4na4 kwa4an2</i>, <i>ta1si1 kwe'4na4 tu14un3</i>, <i>ta1si1 ka3la4u2</i>, <i>ta1si1 ya3a3</i>, <i>ta1si1 ti1me4ta2 ya3a3</i> y <i>ta1si1 kwa4a4</i>,",ndo'4o1 ndi4 kwe'1e1 ti4 yo3ko2 ndo'1o3 kan4 ku4u4 ndo'4o1 mi4i4 ni1-ka3ku3 ndo'4o1 ndi4 kwe'1e1 ti1ka32 kwa4an2 ndo'4o1 ndi4 kwe'1e1 ti1ka32 nde'3e4 ndo'4o1 ki1bi4 ni1-ka3ku3 ndo'4o1 ndi4 kwe'1e1 kla4u2 ya3a3 ndo'4o1 kwe'1e1 kla4u2 nda4a4 ndo'4o1
1,2010-12-15-a,2010-12-15-a_000001,Mode,spontaneous,spontaneous,,"fuimos a visitar a nuestro padre San Agustín, ahí me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió la cabeza, me cambió mi hijo,","Ta1 ta4u3ni2 San Agustín, ta1 ta4u3ni2 San Juan Columna yo'4o1 ta1 ni1-ka'1an1 ba'1a3 yo'4o1 ta1 ni1-ka'1an1 ba'1a3 yo'4o1 ta1 ni1-ka'1an1 ba'1a3 yo'4o1 ta1 ni1-ka'1an1 ba'1a3 yo'4o1 ta1 ni1-ka'1an1 ba'1a3 yo'4o1 ta1chi4 ta1chi4 ta1chi4 ta1chi4 ta1chi4 ta1chi4 ta1chi4 ta1"
2,2010-12-15-a,2010-12-15-a_000002,Fidelity,high,high,,"Mm. Esa gente es la que está viendo la lluvia, por eso, si vemos las cosas que salen de nuestra casa y se van a otra casa, eso es lo que pasa.",yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1
3,2010-12-15-a,2010-12-15-a_000003,Constantino Teodoro Bautista,ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ba42 ku4u4=na2 na1 ba4li4 i3in3 tiem4pu2 tan3 na1 nda'4bi2 ku4u4=na2 ya1 kan4 ndi4,ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ba42 ku4u4=na2 na1 ba4li4 i3in3 tiem4pu2 tan3 na1 nda'4bi2 ku4u4=na2 ya1 kan4 ndi4,"un cantor y su hermana llamada Ñula en los tiempos cuando estaban pequeños y quedaron huérfanos,","En el nombre padre señor San Agustín, padre señor Columna tú que hablaste de manera indirecta, hablaste de manera indirecta, hablaste de manera indirecta, hablaste de manera indirecta, hablaste de manera indirecta, hablaste de manera indirecta, hablaste de manera indirecta, hablaste de manera indirecta, hablaste de manera indirecta, hablaste de manera indirecta, hablaste de manera indirecta.","kwe'1e1 nda'3a4 ni1-xi'1i1 ba3, kwe'1e1 nda'3a4 ni1-xi'1i1 ba3, kwe'1e1 nda'3a4 ni1-xi'1i1 ba3, kwe'1e1 nda'3a4 ni1-xi1xi1 kwe'1e1 nda'3a4 ni1-xi1xi1 kwe'1e1 nda'3a4 ni1-xi1xi1 kwe'1e1 kwe'1e1 ndu4su4ku24 kwe'1e1 ndu4su4ku24 kwe'1e1 ndu4su4ku24 kwe'1e1 ndu4su4ku24"
4,2010-12-15-a,2010-12-15-a_000004,Constantino Teodoro Bautista,ni1-ka'1an1=ra1 ji'4in4 ku'1ba3=ra2 sa1a3 ko3o3 nda3-kwi3in(3)=an4 yu'3u4=ra2 na4 nda3ka1tu'4un4=ra2=ña4 tan3,ni1-ka'1an1=ra1 ji'4in4 ku'1ba3=ra2 sa1a3 ko3o3 nda3-kwi3in(3)=an4 yu'3u4=ra2 na4 nda3ka1tu'4un4=ra2=ña4 tan3,"y él le decía a su hermana cómo ella debía contestarle cuando él le hiciera una pregunta,","Estamos en la casa de los huevos de los muertos, de los señores del fogón, de todos los pantanos y ahí nació ese pantano, ella estaba enferma, estaba enferma, ahí estaba ese pantano, ahí estaba ese pantano, entonces buscamos un pantano y lo hacemos para que quede todo listo.",An4 ti1xin3 be'3e3 sa1bi4 ba'14a4 ni1-ka3na3=ri4 an4 ko14o3 ja1ta4 be'3e3 sa1bi4 ba'14a4 ni1-ka3na3=ri4 an4 ko14o3 ja1ta4 be'3e3 sa1bi4 ba'14a4 ni1-ka3na3=ri4 an4 ko14o3 ja1ta4 be'3e3 sa1bi4 ba42 an4 ko14o3 ja1ta4 be'3e3 sa1bi4.
5,2010-12-15-a,2010-12-15-a_000005,Constantino Teodoro Bautista,"ndi4 ji'3na3 ni1-ka'1an1=ra1 ji'4in(4)=an4 sa3kan4 ndi'13i3 tan3 ja143 ka'4an2=ra1 ji'4in(4)=an4, ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4 ndi4","ndi4 ji'3na3 ni1-ka'1an1=ra1 ji'4in(4)=an4 sa3kan4 ndi'13i3 tan3 ja143 ka'4an2=ra1 ji'4in(4)=an4, ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4 ndi4","primero él le dijo cómo debía hacerlo y después ella debía contestar, su hermano le dijo,","Buscan un lugar donde puedan ir a la morada de la lluvia, a la morada de la lluvia, a la morada de la lluvia o a la morada de la lluvia, eso es la morada de la lluvia.","Be'3e3 ñu'1u3 be'3e3 xi1i4 ndo'1yo3, be'3e3 xi1i4 ndo'1yo3, be'3e3 xi1kwa4 sa4bi4 ndo'1yo3, an4 ko14o3 i3nga2 seña ta4ba4 kwe'1e1 ji'4in4=na2 an4 ko14o3 i3nga2 seña ta4ba4 kwe'1e1 ji'4in4=na2 an4 ko14o3 i3in3 tan42 i3in3 tan42 i3in3 tan42 i3in3 tan42 i3in3"
6,2010-12-15-a,2010-12-15-a_000006,Constantino Teodoro Bautista,"yo3o3 ndu3chi4 nu14u3 ku4u4 ndu3chi4 nu14u(3)=un4 ran4 mi4chun2 ka4chi2=ra1 ji'4in(4)=an4, ka4chi2=an4 kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","yo3o3 ndu3chi4 nu14u3 ku4u4 ndu3chi4 nu14u(3)=un4 ran4 mi4chun2 ka4chi2=ra1 ji'4in(4)=an4, ka4chi2=an4 kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","""¿De quién son esos ojos pues gatita?"", le decía. Y ella le contestó,","Sí, ese es el lenguaje mixteco. Dicen que sí lo aprendió mixteco, mixteco, castellano, español, español, español, español y español, eso es lo que sé.",ndo'4o1 ku4u4 ndo'4o1 santu doctor santu médico ndo'4o1 ku4u4 ndo'4o1 ku4u4 ndo'4o1 ku4u4 ndo'4o1 ku4u4 ndo'4o1 ku4u4 ndo'4o1 ku4u4 ndo'4o1 ku4u4 ndo'4o1 ku4u4 ndo'4o1 ku4u4 ndo'4o1 ku4u4 ndo'4o1 ta1 ta4u3ni2 San Jerónimo ta3ba(4)=on4 nda'3a4 se'1e3=2 ni1-ki3xa2a2=yu1
7,2010-12-15-a,2010-12-15-a_000007,Constantino Teodoro Bautista,"a4su3 ndi4 yu1u4 ta4ta42 ji4to3 ta1 kan3to4ri2 nu14u3=ra2 ku4u(4)=a2, ka4chi2=an4 so'3o3, ka'4an2 tu3ku3=ra2 ji'4in(4)=an4 ndi4","a4su3 ndi4 yu1u4 ta4ta42 ji4to3 ta1 kan3to4ri2 nu14u3=ra2 ku4u(4)=a2, ka4chi2=an4 so'3o3, ka'4an2 tu3ku3=ra2 ji'4in(4)=an4 ndi4","""Tú sabes que son los espejos donde el cantor se mira"". Y él le volvió a preguntar,","Así que cuando me piden eso yo voy, pero cuando me piden cosas buenas yo voy, pero cuando piden cosas malas yo no voy, porque ellos son gente mala.",U1xi1 i1in1 yu3bi4 u1ni1 ta3yu2 ko3ndo'3o3 ndo'4o1 kwe'1e1 i3ni2 kwe'1e1 kwi'4na4 kwe'1e1 i4yo2 nda'3a4 ta1 se'1e3 ta1 ta4u3ni2 Pebru ka4chi2=na1 ji'4in4=ra2 sa3kan4 ndi4 ku3-bi1xin3 ji1ni4=ra2 ku3-bi1xin3 xa'1a4=ra2 ku3-bi1xin3 yu'3u4=ra2 ku3-bi1xin3
8,2010-12-15-a,2010-12-15-a_000008,Constantino Teodoro Bautista,"yo3o3 so'1o3 ku4u4 so'1o(3)=on4 ran4 mi4chun2 ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4, i3kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","yo3o3 so'1o3 ku4u4 so'1o(3)=on4 ran4 mi4chun2 ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4, i3kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","""¿De quién son tus orejas, gatita?"". Y ella le contestó,","cuando nacieron ustedes eran negros y no tenían color blanco, cuando nacieron ustedes eran negros y nacieron en los huesos y ahora les lamió la parte afectada, les lamió la parte afectada, les lamió la parte afectada, les lamió la parte afectada, les lamió la parte afectada, les lamió la parte afectada, les lamió la parte afectada, les lamió la parte afectada, les lamió la parte afectada, les lamió la parte afectada.",ya1 kan4 ka'4an2=na1 ji'4in4=ra2 ndi4 bi3tin3 ndi3xa3 ka'4an2=na1 padre señor San Agustín bi3tin3 ndi4 ku1mi4 ka'4an2 ndi3xa3 ka'4an2 ndi4 ku1mi4 ka'4an2 ba'1a3 ka'4an2 ba'1a3 ka'4an2 ba'1a3 ka'4an2 ba'1a3 ka'4an2 ba'1a3 ka'4an2 ndi4 bi3tin3 ku3ni2=yu1 bi3tin3 ku3ni2=yu1
9,2010-12-15-a,2010-12-15-a_000009,Constantino Teodoro Bautista,"a4su3 ndi4 ki1si3 ndi4ka1 chio'4o14 ña'1a3 xi4xi3 ta1 kan3to4ri2 ji'4in4 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 ku'1ba3=ra2 nda13-kwi3in(3)=an4","a4su3 ndi4 ki1si3 ndi4ka1 chio'4o14 ña'1a3 xi4xi3 ta1 kan3to4ri2 ji'4in4 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 ku'1ba3=ra2 nda13-kwi3in(3)=an4","""Pues es la cazuela donde el cantor cocina su comida con Ñula"", contestó su hermana.","que se está transformando en un cerro, que se está transformando en un río, que se está transformando en un niño, que se vuelva a sobar, que se vuelva a sobar, que se vuelva a sobar, que se vuelva a sobar, que se vuelva a sobar, que se vuelva a sobar, que se vuelva a sobar, que se vuelva a sobar, que se vuelva a sobar, que se vuelva a sobar.",ki1bi4 ka'4an2=ndo4 ji'4in4 ko1o4 kwa'4a1 ka'4an2=ndo4 ji'4in4 ko1o4 ka'4an2=ndo4 ji'4in4 ko1o4 ka'4an2=ndo4 ji'4in4 ko1o4 ka'4an2=ndo4 ji'4in4 ko1o4 ka'4an2=ndo4 ji'4in4 ti1ki1in4 ti1ki1in4 ti1ki1in4 ti1ki1in4 ti1ki1in4 ti1ki1in4 ti1ki1in4 ti1ki1in4 ti1ki1in4 ti1
