,doc,sid,speaker,transcription,cleaned_transcription,translation,mix_to_spa,spa_to_mix
0,2010-12-15-a,2010-12-15-a_000000,Constantino Teodoro Bautista,"Bi3tin3 ndi4 yo'4o4 nda3tu'4un(4)=2 kwen4tu2, i3in3 kwen4tu2 ya3ta4 xa'1a4","Bi3tin3 ndi4 yo'4o4 nda3tu'4un(4)=2 kwen4tu2, i3in3 kwen4tu2 ya3ta4 xa'1a4",Ahora voy a contar un cuento sobre,1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o1o,"you are the disease of the garbage wasp at the time you were born in the tip of the bone and the nerves, you are the disease of the yellow spider, the white spider, when you were born you were the disease of the white nail, the disease of the prieto nail, you were the disease of the white bottle and the red bottle when you came into being,"
1,2010-12-15-a,2010-12-15-a_000001,Mode,spontaneous,spontaneous,,"El 4 de marzo del año siguiente, el Consejo de Ministros de Educación, Ciencias y Tecnología de la Unión Europea (CEI) aprobó un plan de acción para el desarrollo de la tecnología de la información en el ámbito de la educación y la educación en el campo de la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación, la educación y la educación.","Agustín, Padre Juan Columna, que hablaste bien, hablaste bien, hablaste bien, hablaste bien, hablaste bien, hablaste bien, hablaste bien, hablaste bien, hablaste bien, hablaste bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien, habló bien."
2,2010-12-15-a,2010-12-15-a_000002,Fidelity,high,high,,1o1o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o,"thou hast spoken well, thou hast spoken well, thou hast spoken well, thou hast spoken well, thou hast consulted with the bright flame, thou hast consulted with the bright flame, thou hast consulted with the flame well, thou hast seen the bright sickness, the bright sickness, the burning sickness, the burning sickness, the disease that causes itching,"
3,2010-12-15-a,2010-12-15-a_000003,Constantino Teodoro Bautista,ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ba42 ku4u4=na2 na1 ba4li4 i3in3 tiem4pu2 tan3 na1 nda'4bi2 ku4u4=na2 ya1 kan4 ndi4,ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ba42 ku4u4=na2 na1 ba4li4 i3in3 tiem4pu2 tan3 na1 nda'4bi2 ku4u4=na2 ya1 kan4 ndi4,"un cantor y su hermana llamada Ñula en los tiempos cuando estaban pequeños y quedaron huérfanos,","El nombre del padre San Agustín es San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de San Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, el padre de Agustín, de Agustín, el padre de Agustín, el padre de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de Agustín, de que fue cit.","hand disease, dead foot disease, dead mouth disease, dead bone disease, burned hand disease, burned foot disease, burned mouth disease, burned bone disease, disease whose hand thunders, disease whose foot thunders, blood sickness, pus disease are you,"
4,2010-12-15-a,2010-12-15-a_000004,Constantino Teodoro Bautista,ni1-ka'1an1=ra1 ji'4in4 ku'1ba3=ra2 sa1a3 ko3o3 nda3-kwi3in(3)=an4 yu'3u4=ra2 na4 nda3ka1tu'4un4=ra2=ña4 tan3,ni1-ka'1an1=ra1 ji'4in4 ku'1ba3=ra2 sa1a3 ko3o3 nda3-kwi3in(3)=an4 yu'3u4=ra2 na4 nda3ka1tu'4un4=ra2=ña4 tan3,"y él le decía a su hermana cómo ella debía contestarle cuando él le hiciera una pregunta,",3n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4n3o4o4n3o4n3o4o4n3n3o4o4n3o4n3o4o4o4n3n3o4n3o4o4o4o4o4n3n3n3o4o4o4o4o4o4o3n3n3n3o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o,"were born in the abode of bad rain, or behind the house of bad rain, and there may the flame give a sign, or perhaps they were born in the abode of the soul of evil, and the flame may give another sign, or perhaps they see inside the house of the rain of death, or after the rain of death."
5,2010-12-15-a,2010-12-15-a_000005,Constantino Teodoro Bautista,"ndi4 ji'3na3 ni1-ka'1an1=ra1 ji'4in(4)=an4 sa3kan4 ndi'13i3 tan3 ja143 ka'4an2=ra1 ji'4in(4)=an4, ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4 ndi4","ndi4 ji'3na3 ni1-ka'1an1=ra1 ji'4in(4)=an4 sa3kan4 ndi'13i3 tan3 ja143 ka'4an2=ra1 ji'4in(4)=an4, ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4 ndi4","primero él le dijo cómo debía hacerlo y después ella debía contestar, su hermano le dijo,",4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n4o4n5o4n4o4n4o4n4o4n4o4n4o4n5o4n5o4n5o4n5o4n5o4n5o4n5o4n5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o6o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o6o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o6o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o5o,"'s house, the swamp's grandfather's house, the swamp's abula's house, the flame may send another signal, if the sick person has a fever, it may be the candle flame sign some swamp, then you have to mention each of the swamps to know who's responsible,"
6,2010-12-15-a,2010-12-15-a_000006,Constantino Teodoro Bautista,"yo3o3 ndu3chi4 nu14u3 ku4u4 ndu3chi4 nu14u(3)=un4 ran4 mi4chun2 ka4chi2=ra1 ji'4in(4)=an4, ka4chi2=an4 kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","yo3o3 ndu3chi4 nu14u3 ku4u4 ndu3chi4 nu14u(3)=un4 ran4 mi4chun2 ka4chi2=ra1 ji'4in(4)=an4, ka4chi2=an4 kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","""¿De quién son esos ojos pues gatita?"", le decía. Y ella le contestó,","Es decir, el número de piezas que se encuentran entre las piezas de la pieza es igual al número de piezas que se encuentran entre las piezas de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza de la pieza.",", because you are holy doctor holy doctor, you are the one who has to remove the animal have to remove the disease, you have to heal, you have to cool, Mr. St. Jerome untie the hand of my son of my creature who is tied to the animal with the disease, I have come here to change it."
7,2010-12-15-a,2010-12-15-a_000007,Constantino Teodoro Bautista,"a4su3 ndi4 yu1u4 ta4ta42 ji4to3 ta1 kan3to4ri2 nu14u3=ra2 ku4u(4)=a2, ka4chi2=an4 so'3o3, ka'4an2 tu3ku3=ra2 ji'4in(4)=an4 ndi4","a4su3 ndi4 yu1u4 ta4ta42 ji4to3 ta1 kan3to4ri2 nu14u3=ra2 ku4u(4)=a2, ka4chi2=an4 so'3o3, ka'4an2 tu3ku3=ra2 ji'4in(4)=an4 ndi4","""Tú sabes que son los espejos donde el cantor se mira"". Y él le volvió a preguntar,",1o1o2o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o4o,": Nine potatoes and nine chairs for you the diseases of joy, the theft diseases, the diabolical diseases that lie in the hands and feet of my son of my creature named Peter so that he can cool his head, cool his foot, cool his mouth, cool his heart."
8,2010-12-15-a,2010-12-15-a_000008,Constantino Teodoro Bautista,"yo3o3 so'1o3 ku4u4 so'1o(3)=on4 ran4 mi4chun2 ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4, i3kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","yo3o3 so'1o3 ku4u4 so'1o(3)=on4 ran4 mi4chun2 ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4, i3kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","""¿De quién son tus orejas, gatita?"". Y ella le contestó,",El 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 4 de julio de 2011 el 3 de julio de 2011 el 3 de julio de 2011 el 3 de julio de 2011 el 3 de julio de 2011 el 3 de julio de 2011 el 3 de julio de 2011 el 3 de julio de 2011,"said, ""Now you must say with truth, Father Mr. St. Augustine, now speak (the consulting spirits) four times say the true words, the living words, four times say the good words, the living words, now I must see, now I must know,"
9,2010-12-15-a,2010-12-15-a_000009,Constantino Teodoro Bautista,"a4su3 ndi4 ki1si3 ndi4ka1 chio'4o14 ña'1a3 xi4xi3 ta1 kan3to4ri2 ji'4in4 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 ku'1ba3=ra2 nda13-kwi3in(3)=an4","a4su3 ndi4 ki1si3 ndi4ka1 chio'4o14 ña'1a3 xi4xi3 ta1 kan3to4ri2 ji'4in4 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 ku'1ba3=ra2 nda13-kwi3in(3)=an4","""Pues es la cazuela donde el cantor cocina su comida con Ñula"", contestó su hermana.",3o3n4o 3o3n4o 3o3n4o 3o3n4o 3o3n4o 3o3n4o 3o3n4o 3o3n4o 3o3n4o 3o3n4o 3o3n4o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o 3o3n5o3n5o 3o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o 3o3n5o3n5o 3o3n5o3n5o 3o3n5o 3o3n5o3o3o3o 3o3n5o 3o3o3o3o3nnnnnnnnnnn,", when you called the disease of the red snake, the disease of the white snake, when you were born at the tip of the bone, at the tip of the nerves and at the tip of the flesh, and now I'm throwing you out of the tip of the bone, at the tip of the nerves, at the tip of the flesh,"
