,doc,sid,speaker,transcription,cleaned_transcription,translation,mix_to_spa,spa_to_mix
0,2010-12-15-a,2010-12-15-a_000000,Constantino Teodoro Bautista,"Bi3tin3 ndi4 yo'4o4 nda3tu'4un(4)=2 kwen4tu2, i3in3 kwen4tu2 ya3ta4 xa'1a4","Bi3tin3 ndi4 yo'4o4 nda3tu'4un(4)=2 kwen4tu2, i3in3 kwen4tu2 ya3ta4 xa'1a4",Ahora voy a contar un cuento sobre,"que son las enfermedades llamadas <i>ta1si1 ti1mi3i4</i>, <i>ti1nda1ka1</i>, <i>ta1si1 i3ki4</i>, <i>ta1si1 tu14chi32</i>, <i>ta1si1 ti1kwe'4na4 kwa4an2</i>, <i>ta1si1 ti1kwe'4na4 ya3a3</i>, <i>ta1si1 kwa4an2</i>, <i>ta1si1kwi",ndo'4o1 ndi4 kwe'1e1 ti4 yo3ko2 nda'1yu1 ba42 ni1-ka3ku3=ndo4 tan3 ndo'4o1 ndi4 kwe'1e1 ti4 ndio'3o3 kwa4an2 ba42 ni1-ka3ku3 ndo'4o1 ndi4 kwe'1e1 kla4u2 ya3a3 ba42 ni1-ka3ku3 ndo'4o1 ndi4 kwe'1e1 kla4u2 nda4a4 ba42 ni1-ka3ku3 ndo'4o1 ndi4
1,2010-12-15-a,2010-12-15-a_000001,Mode,spontaneous,spontaneous,,"fuimos a ver a nuestro padre San Agustín, mi compadre le cortó la hoja de zacate, lo cortó en la cabeza, tú andaste como de pequeño, como tú andaste de pequeño, como si hubieras curado algún animal, lo hubieras quitado de la enfermedad para que tu hijo se curara, señor Faustino.",Ka'4an2=na1 ji'4in(4)=a2 ndi4 yu3ba4 ta1 señor San Agustín yu3ba4 ta1 señor San Juan Columna yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 ba'1a3 yo'4o1 ni1-ka'1an1 tu3ku3 yo'4o1 ni1-ka'1an1=on4 ji'4in4 ñu
2,2010-12-15-a,2010-12-15-a_000002,Fidelity,high,high,,"Sí. Sí, esos espíritus son los que observan, esos espíritus son los que observan, si esas cosas salen de nuestra casa y se van a otra casa o a otra casa, esas cosas son las malas.",yo'4o1 ni1-ka'1an1 nde3e4 yo'4o1 ni1-ka'1an1 nde3e4 yo'4o1 ni1-ka'1an1 nde3e4 yo'4o1 ni1-ka'1an1 nde3e4 yo'4o1 ni1-ka'1an1 nde3e4 yo'4o1 ni1-ka'1an1 nde3e4 yo'4o1 ni1-ka'1an1 nde3e4 yo'4o1 ni1-ka'1an1 nde3e4 yo'4o1 ni1-ka
3,2010-12-15-a,2010-12-15-a_000003,Constantino Teodoro Bautista,ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ba42 ku4u4=na2 na1 ba4li4 i3in3 tiem4pu2 tan3 na1 nda'4bi2 ku4u4=na2 ya1 kan4 ndi4,ta1 kan3to4ri2 ji'4in4 ku'1ba3=ra2 ña4 Ñu4la2 ba42 ku4u4=na2 na1 ba4li4 i3in3 tiem4pu2 tan3 na1 nda'4bi2 ku4u4=na2 ya1 kan4 ndi4,"un cantor y su hermana llamada Ñula en los tiempos cuando estaban pequeños y quedaron huérfanos,","En el nombre padre señor San Agustín, padre señor Columna tú que hablaste de todas maneras, hablaste de todas maneras, hablaste de todas maneras, hablaste de todas maneras, hablaste de todas maneras, hablaste de todas maneras, hablaste de todas maneras por mi hijo, por mi criatura.",kwe'1e1 nda'3a4 ni1-xi'1i1 kwe'1e1 nda'3a4 ni1-xi'1i1 kwe'1e1 nda'3a4 ni1-xi'1i1 kwe'1e1 nda'3a4 ni1-xi1xi1 kwe'1e1 nda'3a4 ni1-xi1xi1 kwe'1e1 nda'3a4 ni1-xi1xi1 kwe'1e1 nda'3a4 ni1-xi1xi1 kwe'1e1 nda'3a4 ni1-ka3sun2 kwe'1e1 ni1i
4,2010-12-15-a,2010-12-15-a_000004,Constantino Teodoro Bautista,ni1-ka'1an1=ra1 ji'4in4 ku'1ba3=ra2 sa1a3 ko3o3 nda3-kwi3in(3)=an4 yu'3u4=ra2 na4 nda3ka1tu'4un4=ra2=ña4 tan3,ni1-ka'1an1=ra1 ji'4in4 ku'1ba3=ra2 sa1a3 ko3o3 nda3-kwi3in(3)=an4 yu'3u4=ra2 na4 nda3ka1tu'4un4=ra2=ña4 tan3,"y él le decía a su hermana cómo ella debía contestarle cuando él le hiciera una pregunta,","Esta es la casa de la abuela del fogón, de la abuela del fogón, de la abuela del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón, esa es la casa del fogón.",An4 ti1xin3 be'3e3 sa1bi4 ba143 ba'1a3 ba42 an4 ko14o3 ti1xin3 be'3e3 sa1bi4 ba143 ba'1a3 ba42 an4 ko14o3 ti1xin3 be'3e3 sa1bi4 ba143 ba'1a3 ba42 an4 ko14o3 ti1xin3 be'3e3 sa1bi4 ba143 ba'1a3 ba42 an4 ko14o3 ti1xin3 be'3e3 sa1bi4 ba42 an4 ko14o3
5,2010-12-15-a,2010-12-15-a_000005,Constantino Teodoro Bautista,"ndi4 ji'3na3 ni1-ka'1an1=ra1 ji'4in(4)=an4 sa3kan4 ndi'13i3 tan3 ja143 ka'4an2=ra1 ji'4in(4)=an4, ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4 ndi4","ndi4 ji'3na3 ni1-ka'1an1=ra1 ji'4in(4)=an4 sa3kan4 ndi'13i3 tan3 ja143 ka'4an2=ra1 ji'4in(4)=an4, ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4 ndi4","primero él le dijo cómo debía hacerlo y después ella debía contestar, su hermano le dijo,","Así que buscan lugares donde los puedan llevar, si quieren llevarlos a la morada de algún pantano o a la morada de algún cerro cercano, eso es todo lo que sé.","be'3e3 ñu'1u3 be'3e3 xi1i4 ndo'1yo3, an4 ko14o3 nda4a(2)=e2 ba42 ji4ni2 ñu'3u2 an4 ko14o3 nda4a(2)=e2 ba42 ji4ni2 ñu'3u2 an4 ko14o3 nda4a(2)=e2 ba42 ji4ni2 ñu'3u2 an4 ko14o3 nda4a(2)=e2 ba42 ji4ni2 ñu'3u2 an4 ko14o3 nda4a2"
6,2010-12-15-a,2010-12-15-a_000006,Constantino Teodoro Bautista,"yo3o3 ndu3chi4 nu14u3 ku4u4 ndu3chi4 nu14u(3)=un4 ran4 mi4chun2 ka4chi2=ra1 ji'4in(4)=an4, ka4chi2=an4 kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","yo3o3 ndu3chi4 nu14u3 ku4u4 ndu3chi4 nu14u(3)=un4 ran4 mi4chun2 ka4chi2=ra1 ji'4in(4)=an4, ka4chi2=an4 kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","""¿De quién son esos ojos pues gatita?"", le decía. Y ella le contestó,","Sí, esa es la lengua mixteca. Si la usó o la usó para otra utilidad, la usó y la usó para otra utilidad, es lengua mixteca, es lengua mixteca de la gente de la montaña, mira por aquí, mira por aquí.",ndo'4o1 ku4u4 ndo'4o1 doctor santo doctor ndo'4o1 ku4u4 ndo'4o1 ta'3an2 ki3ti4 ta'3an2 ki3ti4 ta'3an2 ki3ti4 ta'3an2 ki3ti4 ta'3an2 ki3ti4 ta'3an2 ki3ti4 ta'3an2 ki3ni3 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1 ndo'4o1
7,2010-12-15-a,2010-12-15-a_000007,Constantino Teodoro Bautista,"a4su3 ndi4 yu1u4 ta4ta42 ji4to3 ta1 kan3to4ri2 nu14u3=ra2 ku4u(4)=a2, ka4chi2=an4 so'3o3, ka'4an2 tu3ku3=ra2 ji'4in(4)=an4 ndi4","a4su3 ndi4 yu1u4 ta4ta42 ji4to3 ta1 kan3to4ri2 nu14u3=ra2 ku4u(4)=a2, ka4chi2=an4 so'3o3, ka'4an2 tu3ku3=ra2 ji'4in(4)=an4 ndi4","""Tú sabes que son los espejos donde el cantor se mira"". Y él le volvió a preguntar,","si alguien me pide de favor que yo vaya a ese lugar, si alguien me pide de favor que yo vaya a ese lugar, si alguien me pide de favor que yo vaya a ese lugar no voy a acompañarlos, porque esos espíritus son malos.",U1ni1 ta'4an2 yu3bi4 u1ni1 ta3yu2 ndo'4o1 kwe'1e1 ba'1a3 ndo'4o1 kwe'1e1 kwi'4na4 kwe'1e1 ba'1a3 ndo'4o1 nda'3a4 se'1e3 sa1na(1)=e1 ta1 na3ni4 Pedro sa3kan4 ndi4 bi1xin3 ji1ni4=ra2 bi1xin3 xa'1a4=ra2 bi1xin3 yu'3u4=ra2 bi1xin3 i3ni2=ra1.
8,2010-12-15-a,2010-12-15-a_000008,Constantino Teodoro Bautista,"yo3o3 so'1o3 ku4u4 so'1o(3)=on4 ran4 mi4chun2 ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4, i3kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","yo3o3 so'1o3 ku4u4 so'1o(3)=on4 ran4 mi4chun2 ka4chi2 ku'1ba(3)=en4 ji'4in(4)=an4, i3kan4 nda13-kwi3in(3)=an4 yu'3u4=ra2 ndi4","""¿De quién son tus orejas, gatita?"". Y ella le contestó,","cuando ustedes llamaron <i>ta1si1 ko14o3 kwa'4a1 ya3a3</i> o <i>ta1si1 ko14o3 kwa'4a1 tu14un3</i>, cuando ustedes llamaron <i>ta1si1 ko14o3 kwa'4a1</i> o <i>ta1si1 ko14o3 tu14un3</i>, cuando ustedes llamaron <i>ta1si1 ko14o3 kwa'4a1</i> o <i>ta1si1 ko14o3 tu14un3</i>,","ya1 kan4 ka'4an2=na1 ji'4in4=ra2 ndi4 bi3tin3 ndi3xa3 ka'1an1=ndo4 padre señor San Agustín bi3tin3 ka'1an1=ndo4 bi3tin3 ku1mi4 ka'4an2=ndo4 kwen4tu2 ndi3xa3 ka'1an1=ndo4, ku1mi4 ka'4an2=ndo4 kwen4tu2 ba'1a3 ka'1an1=ndo4, bi3tin3 ko3to(3)=2 bi3tin3 ko3to(3)="
9,2010-12-15-a,2010-12-15-a_000009,Constantino Teodoro Bautista,"a4su3 ndi4 ki1si3 ndi4ka1 chio'4o14 ña'1a3 xi4xi3 ta1 kan3to4ri2 ji'4in4 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 ku'1ba3=ra2 nda13-kwi3in(3)=an4","a4su3 ndi4 ki1si3 ndi4ka1 chio'4o14 ña'1a3 xi4xi3 ta1 kan3to4ri2 ji'4in4 ña4 Ñu4la2 ku4u(4)=a2, ka4chi2 ku'1ba3=ra2 nda13-kwi3in(3)=an4","""Pues es la cazuela donde el cantor cocina su comida con Ñula"", contestó su hermana.","tú le mandaste cambiar el río, tu abuelo le mandaste cambiar el cuerpo, lo mandaste cambiar de hombre, le mandaste cambiar la boca, le mandaste cambiar el corazón, le mandaste cambiar el hueso, le mandaste cambiar el olor a mi hijo Pedro.",ki1bi4 ni1-ka'1an1=ndo4 ji'4in4 ti4 ko1o4 kwa'4a1 ka4chi2=ndo4 ji'4in4 ti4 ko1o4 nda4a4 ka4chi2=ndo4 ji'4in4=ri4 ki1bi4 ni1-ka3ku3=ri4 nu14u3 i3ki4 ni1-ka3ku3=ri4 nu14u3 i3ki4 ni1-ka3ku3=ri4 nu14u3 i3ki4 ni1-ka3ku3=ri4 nu14u3 i3ki4 ni
